,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Castelo Branco,100,PT,1601601136,81,39.82,-7.49,59.0,8.99
1,Sipe Sipe,99,BO,1601601250,45,-17.45,-66.38,62.6,6.93
2,Al Bardīyah,0,LY,1601601250,77,31.76,25.09,69.3,3.09
3,Chui,33,UY,1601601250,76,-33.7,-53.46,55.67,11.88
4,Puerto Ayora,98,EC,1601601250,86,-0.74,-90.35,68.0,8.99
5,Port Alfred,97,ZA,1601601251,71,-33.59,26.89,57.74,20.31
6,Coshocton,59,US,1601601251,87,40.27,-81.86,48.0,4.97
7,Half Moon Bay,5,US,1601601232,58,37.46,-122.43,87.01,3.36
8,Vostok,100,RU,1601601252,54,46.49,135.88,53.04,2.89
9,Arrondissement de Tulle,100,FR,1601601252,62,45.33,1.83,53.01,10.0
10,Ushuaia,75,AR,1601601252,92,-54.8,-68.3,30.2,20.8
11,Saint-Philippe,2,RE,1601601252,60,-21.36,55.77,69.8,6.93
12,Mentougou,0,CN,1601601253,39,39.94,116.09,62.01,1.01
13,Gamba,99,GA,1601601253,80,-2.65,10.0,74.98,5.14
14,Iskateley,100,RU,1601601253,89,67.68,53.15,45.84,13.56
15,Rikitea,0,PF,1601601254,79,-23.12,-134.97,73.49,18.88
16,Jamestown,90,US,1601601193,87,42.1,-79.24,48.99,5.82
17,Lethem,49,GY,1601601254,57,3.38,-59.8,82.74,5.75
18,Seoul,90,KR,1601601132,72,37.57,126.98,68.0,3.36
19,Westport,20,US,1601601254,55,41.14,-73.36,66.2,6.93
20,Los Llanos de Aridane,40,ES,1601601255,69,28.66,-17.92,73.4,17.22
21,Porbandar,0,IN,1601601147,77,21.64,69.61,80.38,7.54
22,Plainview,1,US,1601601043,77,40.78,-73.47,64.99,4.7
23,Kutum,68,SD,1601601255,43,14.2,24.67,78.33,6.17
24,Yellowknife,90,CA,1601601255,70,62.46,-114.35,46.4,9.17
25,Upernavik,0,GL,1601601256,90,72.79,-56.15,22.23,16.6
26,Zeulenroda,29,DE,1601601256,73,50.65,11.98,54.0,1.01
27,Vilyuysk,70,RU,1601601256,85,63.76,121.62,32.27,6.64
28,Poso,99,ID,1601601256,55,-1.4,120.75,86.29,2.57
29,Kumbo,100,CM,1601601257,91,6.2,10.67,58.48,1.7
30,Mataura,72,NZ,1601601257,57,-46.19,168.86,57.0,10.0
31,Shimoda,20,JP,1601601257,69,34.67,138.95,73.4,8.05
32,Marquette,77,US,1601601258,88,46.53,-87.63,37.99,5.01
33,Busselton,79,AU,1601601258,69,-33.65,115.33,57.0,13.8
34,Cidreira,21,BR,1601601258,77,-30.18,-50.21,71.2,15.77
35,Albany,23,US,1601601003,69,42.6,-73.97,55.0,4.05
36,Dingle,76,PH,1601601258,78,11.0,122.67,83.71,4.68
37,Saskylakh,100,RU,1601601259,91,71.92,114.08,26.04,18.57
38,George Town,20,MY,1601601160,88,5.41,100.34,80.6,5.82
39,Narsaq,100,GL,1601601259,90,60.92,-46.05,41.0,13.87
40,Barrow,90,US,1601601260,86,71.29,-156.79,33.8,14.99
41,Thompson,75,CA,1601601260,74,55.74,-97.86,37.4,3.36
42,Balkhash,50,KZ,1601601260,63,46.84,74.98,43.63,17.31
43,Nikolskoye,36,RU,1601601260,87,59.7,30.79,48.0,8.95
